Site,PlotID,nm_prr_,Burned_,X_1,notes,fr_prLNU_n,fr_prLNU_y,crrnFRI,mdnRFRI,mnPFRID,mCC_FRI,PFR,NOTES_1,ppt,tmean
QuailRidge,QUA006,1,Yes,10S,NA,resort,1988,28,59,-48.64,-2,chaparral and serotinous conifer,NA,718.79705810546875,16.30900001525879
QuailRidge,QUA008,1,Yes,10S,NA,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,NA,706.34002685546875,16
QuailRidge,QUA009,1,Yes,10S,NA,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,NA,706.34002685546875,16
QuailRidge,QUA010,2,Yes,10S,NA,pleasure,2005,38,59,-31.52,-1,chaparral and serotinous conifer,NA,706.34002685546875,16
QuailRidge,QUA011,1,Yes,10S,NA,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,NA,710.71002197265625,16.110000610351562
QuailRidge,QUA015,1,Yes,10S,NA,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,NA,697.36700439453125,16.510000228881836
QuailRidge,QUA016,1,Yes,10S,NA,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,NA,697.36700439453125,16.510000228881836
QuailRidge,QUA020,1,Yes,10S,north slope,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,NA,699.738037109375,16.690000534057617
QuailRidge,QUA021,1,Yes,10S,Yes north,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,NA,699.738037109375,16.690000534057617
QuailRidge,QUA022,1,Yes,10S,Yes north,R.COOMBA,1961,38,59,-31.52,-1,chaparral and serotinous conifer,NA,699.738037109375,16.690000534057617
QuailRidge,QUA023,2,Yes,10S,Yes north,pleasure,2005,38,59,-31.52,-1,chaparral and serotinous conifer,NA,701.0570068359375,16.73000144958496
QuailRidge,QUA024,2,Yes,10S,Yes north,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,NA,706.34002685546875,16
QuailRidge,QUA025,2,Yes,10S,North slope,pleasure,2005,38,59,-31.52,-1,chaparral and serotinous conifer,NA,710.71002197265625,16.110000610351562
