"","plot_year","spp","cover"
"151","BOB008_2021","SYMMOL",1.3
"152","BOB008_2021","TOXDIV",1.2
"153","BOB008_2021","TOXFRE",1.92
"154","BOB008_2021","TRILAX",0.14
"155","BOB008_2022","ACMWRA",0.02
"156","BOB008_2022","ADFA",0.2
"157","BOB008_2022","CALAMA",0.2
"158","BOB008_2022","CALPUR",0.7
"159","BOB008_2022","CAROLI",0.02
"160","BOB008_2022","CLAPAR",0.7
"161","BOB008_2022","CLELAS",6
"162","BOB008_2022","DAUPUS",0.06
"163","BOB008_2022","FESMIC",0.8
"164","BOB008_2022","FRADIP",1.6
"165","BOB008_2022","GALAPA",2.4
"166","BOB008_2022","KOEMAC",0.4
"167","BOB008_2022","LEPCAL",17
"168","BOB008_2022","MADGRA",0.3
"169","BOB008_2022","NEMHET",15
"170","BOB008_2022","RANHEB",0.2
"171","BOB008_2022","SANCRA",0.04
"172","BOB008_2022","SYMMOL",2.4
"173","BOB008_2022","THYCUR",0.02
"174","BOB008_2022","TOXDIV",0.8
"175","BOB008_2022","TOXFRE",0.5
"176","BOB008_2022","TRIMIC",0.02
"177","BOB009_2021","ACMBRA",0.14
"178","BOB009_2021","ACMGLA",0.22
"179","BOB009_2021","ADFA",7.8
"180","BOB009_2021","ASTGAM",0.1
"181","BOB009_2021","CALBRE",0.08
"182","BOB009_2021","CHLPOM",0.6
"183","BOB009_2021","DAUPUS",0.66
"184","BOB009_2021","EMMPEN",0.62
"185","BOB009_2021","ERICAL",2.8
"186","BOB009_2021","SILANT",0.04
"187","BOB009_2022","ACMBRA",1.91
"188","BOB009_2022","ACMGLA",1.1
"189","BOB009_2022","ADFA",2
"190","BOB009_2022","DAUPUS",0.02
"191","BOB009_2022","ERICAL",11.01
"192","BOB009_2022","STILEP",2.4
"193","BOB010_2021","ACMBRA",2
"194","BOB010_2021","ACMGLA",0.02
"195","BOB010_2021","ADFA",4.8
"196","BOB010_2021","ALLGIL",0.16
"197","BOB010_2021","ASTGAM",0.02
"198","BOB010_2021","DAUPUS",0.18
"199","BOB010_2021","DIPCAP",0.1
"200","BOB010_2021","EMMPEN",0.14
"201","BOB010_2021","ERICAL",2.6
"202","BOB010_2021","STILEP",0.3
"203","BOB010_2021","THYCUR",0.04
"204","BOB010_2021","TRIMIC",2
"205","BOB010_2022","ACMBRA",13.2
"206","BOB010_2022","ADFA",7.4
"207","BOB010_2022","AMSMEN",0.02
"208","BOB010_2022","CHLPOM",0.01
"209","BOB010_2022","DIPCAP",0.2
"210","BOB010_2022","ERICAL",4.2
"211","BOB010_2022","ESCCAE",0.01
"212","BOB010_2022","STILEP",1
"213","BOB010_2022","THYCUR",0.42
"214","BOB010_2022","TRIMIC",0.6
"215","BOB011_2021","ACMBRA",1.5
"216","BOB011_2021","ACMGLA",0.8
"217","BOB011_2021","ADFA",3.8
"218","BOB011_2021","APIANG",0.24
"219","BOB011_2021","CALBRE",0.1
"220","BOB011_2021","CHLPOM",8.6
"221","BOB011_2021","EMMPEN",0.16
"222","BOB011_2021","ESCCAE",1.06
"223","BOB011_2022","ACMBRA",8.9
"224","BOB011_2022","ACMGLA",2.2
"225","BOB011_2022","ADFA",0.04
"226","BOB011_2022","CHLPOM",5
"227","BOB011_2022","ESCCAE",10
"228","BOB011_2022","RAFCAL",0.1
"229","BOB011_2022","UROLIN",0.12
"230","BOB012_2021","ACMGLA",0.02
"231","BOB012_2021","ACMWRA",5.6
"232","BOB012_2021","ADFA",5.2
"233","BOB012_2021","AGOGRA",0.02
"234","BOB012_2021","ALLGIL",0.06
"235","BOB012_2021","ANTVEX",0.5
"236","BOB012_2021","APIANG",0.1
"237","BOB012_2021","CHLPOM",2.8
"238","BOB012_2021","DICVOL",0.1
"239","BOB012_2021","DIPCAP",0.1
"240","BOB012_2021","ERICAL",6.8
"241","BOB012_2021","ESCCAE",1.5
"242","BOB012_2021","LUPSUC",0.06
"243","BOB012_2021","MADGRA",0.04
"244","BOB012_2021","STILEP",0.1
"245","BOB012_2021","STIPUL",0.4
"246","BOB012_2021","TRICIL",0.3
"247","BOB012_2021","TRILAX",0.2
"248","BOB012_2022","ACMAME",3.6
"249","BOB012_2022","ACMWRA",16.2
"250","BOB012_2022","ADFA",3
"251","BOB012_2022","CHLPOM",3.1
"252","BOB012_2022","DIPCAP",0.1
"253","BOB012_2022","EMMPEN",0.02
"254","BOB012_2022","ERICAL",17
"255","BOB012_2022","ESCCAE",1.4
"256","BOB012_2022","LUPSUC",0.4
"257","BOB012_2022","RAFCAL",0.4
"258","BOB012_2022","SALCOL",0.06
"259","BOB012_2022","STILEP",1
"260","BOB012_2022","TRICIL",0.32
"261","BOB012_2022","TRILAX",0.2
"262","BOB012_2022","TRIMIC",0.6
"263","BOB012_2022","UROLIN",0.2
"264","BOB013_2021","ACMWRA",0.5
