"","PlotID","year","quad","native.nonnative","shanDiv","X","Location","num_burn","cool.warm_slope","fire_preLNU_year","currentFRI","medianRefFRI","meanPFRID","meanCC_FRI","PFR","Mean_diam_cm","mean_diam_mm"
"36","BOB002","2022","Q3","NONNATIVE_shanDiv",1.33535742596633,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"37","BOB002","2022","Q4","NATIVE_shanDiv",0.352587592895607,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"38","BOB002","2022","Q4","NONNATIVE_shanDiv",1.42653922895706,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"39","BOB002","2022","Q5","NATIVE_shanDiv",0.0084964483537674,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"40","BOB002","2022","Q5","NONNATIVE_shanDiv",1.03356151198862,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"41","BOB003","2021","Q1","NATIVE_shanDiv",0.0896269605927127,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"42","BOB003","2021","Q1","NONNATIVE_shanDiv",1.12189797405468,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"43","BOB003","2021","Q2","NATIVE_shanDiv",0.0309314373857142,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"44","BOB003","2021","Q2","NONNATIVE_shanDiv",1.04811759962547,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"45","BOB003","2021","Q3","NATIVE_shanDiv",0.274152039422253,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"46","BOB003","2021","Q3","NONNATIVE_shanDiv",1.34076021258365,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"47","BOB003","2021","Q4","NATIVE_shanDiv",0.45829006484944,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"48","BOB003","2021","Q4","NONNATIVE_shanDiv",1.12451179610738,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"49","BOB003","2021","Q5","NATIVE_shanDiv",0.357734935413442,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"50","BOB003","2021","Q5","NONNATIVE_shanDiv",0.912855159839297,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"51","BOB003","2022","Q1","NATIVE_shanDiv",0.312237507757276,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"52","BOB003","2022","Q1","NONNATIVE_shanDiv",1.33632387932801,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"53","BOB003","2022","Q2","NATIVE_shanDiv",0.155689159896654,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"54","BOB003","2022","Q2","NONNATIVE_shanDiv",1.77458414941253,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"55","BOB003","2022","Q3","NATIVE_shanDiv",0.17101658599006,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"56","BOB003","2022","Q3","NONNATIVE_shanDiv",1.33605794799419,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"57","BOB003","2022","Q4","NATIVE_shanDiv",0.116218791574486,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"58","BOB003","2022","Q4","NONNATIVE_shanDiv",1.40000181278989,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"59","BOB003","2022","Q5","NATIVE_shanDiv",0,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
