"","PlotID","year","spp","SEEDLING.RESPROUT","num_burn","cool.warm_slope","Lifeform","Native_nonnative","fac.obl","plotid_time","species_type","n_species","n_species_native.non","n_species_lifeform"
"52","BOB004",2021,"ACMGLA","SEEDLING",5,"warm","SH","native","OBL-S","BOB004 5 warm 2021","ACMGLA_SEEDLING",25,14,3
"53","BOB004",2022,"ACMGLA","SEEDLING",5,"warm","SH","native","OBL-S","BOB004 5 warm 2022","ACMGLA_SEEDLING",25,15,4
"54","BOB005",2021,"ACMGLA","SEEDLING",5,"warm","SH","native","OBL-S","BOB005 5 warm 2021","ACMGLA_SEEDLING",16,9,4
"55","BOB005",2022,"ACMGLA","SEEDLING",5,"warm","SH","native","OBL-S","BOB005 5 warm 2022","ACMGLA_SEEDLING",17,9,3
"56","BOB006",2021,"ACMGLA","SEEDLING",5,"warm","SH","native","OBL-S","BOB006 5 warm 2021","ACMGLA_SEEDLING",23,12,4
"57","BOB006",2022,"ACMGLA","SEEDLING",5,"warm","SH","native","OBL-S","BOB006 5 warm 2022","ACMGLA_SEEDLING",20,11,4
"58","BOB009",2021,"ACMGLA","SEEDLING",3,"warm","SH","native","OBL-S","BOB009 3 warm 2021","ACMGLA_SEEDLING",34,19,3
"59","BOB009",2022,"ACMGLA","SEEDLING",3,"warm","SH","native","OBL-S","BOB009 3 warm 2022","ACMGLA_SEEDLING",24,13,5
"60","BOB010",2021,"ACMGLA","SEEDLING",3,"warm","SH","native","OBL-S","BOB010 3 warm 2021","ACMGLA_SEEDLING",27,15,4
"61","BOB010",2022,"ACMGLA","SEEDLING",3,"warm","SH","native","OBL-S","BOB010 3 warm 2022","ACMGLA_SEEDLING",23,14,6
"62","BOB011",2021,"ACMGLA","SEEDLING",4,"warm","SH","native","OBL-S","BOB011 4 warm 2021","ACMGLA_SEEDLING",26,13,2
"63","BOB011",2022,"ACMGLA","SEEDLING",4,"warm","SH","native","OBL-S","BOB011 4 warm 2022","ACMGLA_SEEDLING",20,11,2
"64","BOB012",2021,"ACMGLA","SEEDLING",4,"warm","SH","native","OBL-S","BOB012 4 warm 2021","ACMGLA_SEEDLING",35,25,5
"65","BOB012",2021,"ACMGLA","SEEDLING",4,"warm","SH","native","OBL-S","BOB012 4 warm 2021","ACMGLA_SEEDLING",35,25,5
"66","BOB013",2021,"ACMGLA","SEEDLING",4,"cool","SH","native","OBL-S","BOB013 4 cool 2021","ACMGLA_SEEDLING",51,39,7
"67","BOB014",2021,"ACMGLA","SEEDLING",4,"cool","SH","native","OBL-S","BOB014 4 cool 2021","ACMGLA_SEEDLING",48,32,10
"68","BOB015",2021,"ACMGLA","SEEDLING",4,"cool","SH","native","OBL-S","BOB015 4 cool 2021","ACMGLA_SEEDLING",54,40,8
