"","PlotID","spp","year","presence","Site","num_burn","burned","X_1","notes","preFireName","preFireYear","crrnFRI","mdnRFRI","mnPFRID","mCC_FRI","PFR","NOTES_1","ppt","tmean","elevation","elev_units","elevation.1","slope","aspect_degrees","northsouth","eastwest","hli","Distance_km","Geology","def","TSLF","TSLF_bin","aspect_name","cool_warm_slope","Lifeform","Native_nonnative","fac.obl"
"1","BOB002","ADFA",2021,0,"Bobcat",5,"Yes","10S","cool","county",2018,16,59,-70.65,-3,"chaparral and serotinous conifer",NA,736.640014648438,15.8300008773804,371,"meters",371,22.4796637327724,81.0480404552538,0.806038371153612,-0.59186328170282,0.532251368300608,33,"Ku","Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,"<10","east","cool","SH","native","FAC"
"2","BOB002","ADFA",2022,0,"Bobcat",5,"Yes","10S","cool","county",2018,16,59,-70.65,-3,"chaparral and serotinous conifer",NA,736.640014648438,15.8300008773804,371,"meters",371,22.4796637327724,81.0480404552538,0.806038371153612,-0.59186328170282,0.532251368300608,33,"Ku","Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,"<10","east","cool","SH","native","FAC"
"3","BOB002","AESCAL",2021,0,"Bobcat",5,"Yes","10S","cool","county",2018,16,59,-70.65,-3,"chaparral and serotinous conifer",NA,736.640014648438,15.8300008773804,371,"meters",371,22.4796637327724,81.0480404552538,0.806038371153612,-0.59186328170282,0.532251368300608,33,"Ku","Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,"<10","east","cool","TR","native","FAC"
"4","BOB002","AESCAL",2022,0,"Bobcat",5,"Yes","10S","cool","county",2018,16,59,-70.65,-3,"chaparral and serotinous conifer",NA,736.640014648438,15.8300008773804,371,"meters",371,22.4796637327724,81.0480404552538,0.806038371153612,-0.59186328170282,0.532251368300608,33,"Ku","Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,"<10","east","cool","TR","native","FAC"
"5","BOB002","ARCMAN",2021,0,"Bobcat",5,"Yes","10S","cool","county",2018,16,59,-70.65,-3,"chaparral and serotinous conifer",NA,736.640014648438,15.8300008773804,371,"meters",371,22.4796637327724,81.0480404552538,0.806038371153612,-0.59186328170282,0.532251368300608,33,"Ku","Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,"<10","east","cool","SH","native","OBL-S"
"6","BOB002","ARCMAN",2022,0,"Bobcat",5,"Yes","10S","cool","county",2018,16,59,-70.65,-3,"chaparral and serotinous conifer",NA,736.640014648438,15.8300008773804,371,"meters",371,22.4796637327724,81.0480404552538,0.806038371153612,-0.59186328170282,0.532251368300608,33,"Ku","Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,"<10","east","cool","SH","native","OBL-S"
"7","BOB002","ASTER",2021,0,"Bobcat",5,"Yes","10S","cool","county",2018,16,59,-70.65,-3,"chaparral and serotinous conifer",NA,736.640014648438,15.8300008773804,371,"meters",371,22.4796637327724,81.0480404552538,0.806038371153612,-0.59186328170282,0.532251368300608,33,"Ku","Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,"<10","east","cool","FB","",""
"8","BOB002","ASTER",2022,0,"Bobcat",5,"Yes","10S","cool","county",2018,16,59,-70.65,-3,"chaparral and serotinous conifer",NA,736.640014648438,15.8300008773804,371,"meters",371,22.4796637327724,81.0480404552538,0.806038371153612,-0.59186328170282,0.532251368300608,33,"Ku","Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,"<10","east","cool","FB","",""
"9","BOB002","CEACUN",2021,0,"Bobcat",5,"Yes","10S","cool","county",2018,16,59,-70.65,-3,"chaparral and serotinous conifer",NA,736.640014648438,15.8300008773804,371,"meters",371,22.4796637327724,81.0480404552538,0.806038371153612,-0.59186328170282,0.532251368300608,33,"Ku","Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,"<10","east","cool","SH","native","OBL-S"
"10","BOB002","CEACUN",2022,0,"Bobcat",5,"Yes","10S","cool","county",2018,16,59,-70.65,-3,"chaparral and serotinous conifer",NA,736.640014648438,15.8300008773804,371,"meters",371,22.4796637327724,81.0480404552538,0.806038371153612,-0.59186328170282,0.532251368300608,33,"Ku","Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,"<10","east","cool","SH","native","OBL-S"
"11","BOB002","CEAOLI",2021,0,"Bobcat",5,"Yes","10S","cool","county",2018,16,59,-70.65,-3,"chaparral and serotinous conifer",NA,736.640014648438,15.8300008773804,371,"meters",371,22.4796637327724,81.0480404552538,0.806038371153612,-0.59186328170282,0.532251368300608,33,"Ku","Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,"<10","east","cool","SH","native","OBL-S"
