"Site","PlotID","nm_prr_","Burned_","X_1","notes","fr_prLNU_n","fr_prLNU_y","crrnFRI","mdnRFRI","mnPFRID","mCC_FRI","PFR","NOTES_1","ppt","tmean","elevation","elev_units","elevation.1","slope","aspect","northsouth","eastwest","hli"
"CacheCreek","CCC006",1,"Yes","10S","warm slope",NA,NA,56,59,2.65,1,"chaparral and serotinous conifer",NA,699.521057128906,16.5500011444092,523,"meters",523,23.6361388795633,235.241123410201,-0.929284399374792,0.369365002509216,0.922606376091638
"CacheCreek","CCC007",7,"Yes","10S","warm slope","sixteen_complex",2012,13,59,-77.17,-3,"chaparral and serotinous conifer",NA,626.387023925781,16.0400009155273,429,"meters",429,23.3542614715584,87.8634907820376,0.994893391445923,-0.100931361118477,0.551121454942731
"CacheCreek","CCC008",7,"yes","10S","warm slope","sixteen_complex",2012,13,12,4.42,1,"oak woodland",NA,626.387023925781,16.0400009155273,423,"meters",423,31.7897290512927,95.9632911240927,-0.144210602285031,0.98954701868511,0.519459371596819
"CacheCreek","CCC009",7,"yes","10S","warm slope","sixteen_complex",2012,11,12,-5.83,-1,"oak woodland",NA,626.387023925781,16.0400009155273,431,"meters",431,36.5492673733841,93.7352282542618,0.871496155780843,-0.490402335291353,0.468871564240668
"CacheCreek","CCC010",7,"yes","10S","cool slope","sixteen_complex",2012,13,59,-77.17,-3,"chaparral and serotinous conifer",NA,626.387023925781,16.0400009155273,374,"meters",374,37.268983509719,40.3976446760922,-0.90344413154837,0.428705844572724,0.298972650093717
"CacheCreek","CCC011",7,"yes","10S","cool slope","sixteen_complex",2012,11,59,-79.45,-3,"chaparral and serotinous conifer",NA,626.387023925781,16.0400009155273,405,"meters",405,28.0893039007645,317.642140751015,-0.942326113318852,-0.334696125100644,0.755607208387677
"CacheCreek","CCC012",7,"yes","10S","cool slope","sixteen_complex",2012,11,59,-79.45,-3,"chaparral and serotinous conifer",NA,626.387023925781,16.0400009155273,396,"meters",396,25.7125372859591,38.2251404685379,0.864807923469429,0.502102833595365,0.412086814947081
"ColdCanyon","COL007",3,"Yes","10S",NA,"wragg",2015,28,59,-48.64,-2,"chaparral and serotinous conifer",NA,714.193054199219,16.5,417,"meters",417,32.2337381281198,287.072520646688,-0.373896929772665,-0.92747026146749,0.921884380508408
"ColdCanyon","COL012",3,"Yes","10S",NA,"wragg",2015,28,59,-48.64,-2,"chaparral and serotinous conifer",NA,714.193054199219,16.5,400,"meters",400,33.620667176629,292.789891198056,-0.81284617889424,-0.582478402567024,0.892555820432839
"ColdCanyon","COL013",3,"Yes","10S",NA,"wragg",2015,28,59,-48.64,-2,"chaparral and serotinous conifer",NA,714.193054199219,16.5,403,"meters",403,25.8027039553892,263.307969708245,0.83326276543984,-0.55287716875591,0.96597237342675
"ColdCanyon","COL014",3,"Yes","10S",NA,"wragg",2015,28,59,-48.64,-2,"chaparral and serotinous conifer",NA,714.193054199219,16.5,305,"meters",305,22.047084207469,280.303804881814,-0.76351430851688,-0.645790910968861,0.915958638562444
"ColdCanyon","COL017",3,"Yes","10S",NA,"wragg",2015,28,59,-48.64,-2,"chaparral and serotinous conifer",NA,714.193054199219,16.5,381,"meters",381,38.7081027672858,258.998980684334,0.18140329764207,0.983408787638479,0.999585616433728
"ColdCanyon","COL018",3,"Yes","10S",NA,"wragg",2015,28,59,-48.64,-2,"chaparral and serotinous conifer",NA,714.193054199219,16.5,272,"meters",272,11.4501215223167,220.97333861707,0.487254885984254,0.873259798733728,0.830008556483785
"QuailRidge","QUA001",2,"Yes","10S",NA,"pleasure",2005,38,59,-31.52,-1,"chaparral and serotinous conifer",NA,703.897033691406,16.3400001525879,328,"meters",328,23.6074656856981,152.125878649,0.239028329557108,0.971012593980706,0.861547753272622
"QuailRidge","QUA002",2,"Yes","10S",NA,"pleasure",2005,38,59,-31.52,-1,"chaparral and serotinous conifer",NA,703.897033691406,16.3400001525879,360,"meters",360,35.7229258111585,199.934182705057,0.428696251354045,-0.903448683697635,0.993031593238066
