Site,PlotID,num_burn,preFireName,preFireYear,crrnFRI,mdnRFRI,mnPFRID,mCC_FRI,PFR,ppt,tmean,elevation,slope,aspect_degrees,hli,Distance_km,TSLF,cool_warm_slope
QuailRidge,QUA001,2,pleasure,2005,38,59,-31.52,-1,chaparral and serotinous conifer,703.8970337,16.34000015,328,23.60746569,152.1258786,0.861547753,34,15,warm
QuailRidge,QUA002,2,pleasure,2005,38,59,-31.52,-1,chaparral and serotinous conifer,703.8970337,16.34000015,360,35.72292581,199.9341827,0.993031593,34,15,warm
QuailRidge,QUA003,2,pleasure,2005,38,59,-31.52,-1,chaparral and serotinous conifer,706.3400269,16,387,27.54474844,189.0158523,0.976095759,33,15,warm
QuailRidge,QUA004,1,NA,1950,56,59,2.65,1,chaparral and serotinous conifer,713.0060425,16.70000076,270,4.746891146,345.7583783,0.714118031,33,70,cool
QuailRidge,QUA005,1,resort,1988,28,59,-48.64,-2,chaparral and serotinous conifer,718.7970581,16.30900002,338,14.22210781,214.343392,0.862710337,33,32,warm
QuailRidge,QUA006,1,resort,1988,28,59,-48.64,-2,chaparral and serotinous conifer,718.7970581,16.30900002,364,25.81244945,169.0451007,0.931843163,33,32,warm
QuailRidge,QUA008,1,NA,1950,56,59,2.65,1,chaparral and serotinous conifer,706.3400269,16,377,18.46556221,171.2001069,0.897411228,33,70,warm
QuailRidge,QUA009,1,NA,1950,56,59,2.65,1,chaparral and serotinous conifer,706.3400269,16,407,30.6209095,186.9399362,0.986667157,33,70,warm
QuailRidge,QUA010,2,pleasure,2005,38,59,-31.52,-1,chaparral and serotinous conifer,706.3400269,16,380,27.55861956,224.8097423,0.89974384,33,15,warm
QuailRidge,QUA011,1,NA,1950,56,59,2.65,1,chaparral and serotinous conifer,710.710022,16.11000061,368,13.63277941,210.3628406,0.863365817,33,70,warm
QuailRidge,QUA015,1,NA,1950,56,59,2.65,1,chaparral and serotinous conifer,697.3670044,16.51000023,354,16.06079806,263.5792689,0.896145464,34,70,warm
QuailRidge,QUA016,1,NA,1950,56,59,2.65,1,chaparral and serotinous conifer,697.3670044,16.51000023,345,15.5466182,218.6346752,0.86507874,34,70,warm
QuailRidge,QUA020,1,NA,1950,56,59,2.65,1,chaparral and serotinous conifer,699.7380371,16.69000053,356,4.184035955,8.028782384,0.693810329,34,70,cool
QuailRidge,QUA021,1,NA,1950,56,59,2.65,1,chaparral and serotinous conifer,699.7380371,16.69000053,348,7.987937489,30.64348396,0.630086437,34,70,cool
QuailRidge,QUA022,1,R.COOMBA,1961,38,59,-31.52,-1,chaparral and serotinous conifer,699.7380371,16.69000053,341,16.64803923,277.7344345,0.885939641,34,59,warm
QuailRidge,QUA023,2,pleasure,2005,38,59,-31.52,-1,chaparral and serotinous conifer,701.0570068,16.73000145,319,5.638087026,191.9452398,0.790384745,34,15,warm
QuailRidge,QUA024,1,NA,1950,56,59,2.65,1,chaparral and serotinous conifer,706.3400269,16,370,12.18291975,263.5785237,0.859665117,33,70,warm
QuailRidge,QUA025,2,pleasure,2005,38,59,-31.52,-1,chaparral and serotinous conifer,710.710022,16.11000061,348,24.32754044,276.1319381,0.93807534,33,15,warm
