PlotID,spp,status,prefire_ht_m,postfire_ht_m,diam_largest_stem_cm,year
BOB010,ERICAL,L,,0.6,,2022
BOB012,ERICAL,L,,0.51,,2022
BOB012,ERICAL,L,,1.17,,2022
BOB016,ERICAL,L,,0.53,,2022
BOB016,ERICAL,L,,0.4,,2022
BOB017,ERICAL,L,,0.6,,2022
BOB018,ERICAL,L,,0.48,,2022
CCC009,ERICAL,L,,0.22,,2022
CCC011,ERICAL,L,,0.45,,2022
COL012,ERICAL,L,,0.42,,2022
COL013,ERICAL,L,,0.01,,2021
COL013,ERICAL,L,,0.3,,2021
COL013,ERICAL,L,,0.15,,2021
COL013,ERICAL,L,,0.32,,2022
COL018,ERICAL,L,,0.3,,2021
QUA002,ERICAL,L,,0.31,,2022
QUA015,ERICAL,L,,0.56,,2022
BOB007,HEAR,L,,0.78,,2022
BOB014,HEAR,L,,1.05,,2022
BOB015,HEAR,L,,0.8,,2022
COL013,HEAR,L,,0.865,,2022
COL017,HEAR,L,,0.2,,2021
BOB007,LEPCAL,L,,0.84,,2022
BOB007,LEPCAL,L,,0.8,,2022
BOB008,LEPCAL,L,,0.79,,2022
BOB008,LEPCAL,L,,0.57,,2022
BOB013,LEPCAL,L,,0.24,,2022
BOB013,LEPCAL,L,,1.03,,2022
BOB014,LEPCAL,L,,0.6,,2022
BOB014,LEPCAL,L,,0.73,,2022
BOB014,LEPCAL,L,,0.47,,2022
BOB014,LEPCAL,L,,0.65,,2022
BOB015,LEPCAL,L,,0.6,,2022
BOB015,LEPCAL,L,,0.33,,2022
BOB015,LEPCAL,L,,0.6,,2022
BOB015,LEPCAL,L,,0.84,,2022
BOB015,LEPCAL,L,,0.6,,2022
BOB016,LEPCAL,L,,0.73,,2022
BOB016,LEPCAL,L,,0.69,,2022
BOB016,LEPCAL,L,,0.68,,2022
BOB019,LEPCAL,L,,0.35,,2022
COL007,LEPCAL,L,,0.36,,2022
BOB002,MIMAUR,L,,0.58,,2022
CCC010,MIMAUR,L,,0.51,,2022
CCC010,MIMAUR,L,,0.49,,2022
COL007,MIMAUR,L,,0.5,,2022
COL017,MIMAUR,L,,0.5,,2022
BOB014,QUEBER,L,,0.3,,2022
COL014,QUEBER,L,,0.77,,2022
COL014,QUEBER,L,,0.78,,2022
COL014,QUEBER,L,,0.4,,2021
COL014,QUEBER,L,,0.1,,2021
COL017,QUEBER,L,,0.285,,2022
CCC012,RHAILI,L,,0.8,,2022
