id,old_id,code.x,area_cm2,fresh_wt_g,dry_wt_g,sla_cm2_g,lwc,code.y,Sample.number,Species.code,ecotype,X.N,X.C,C.N,NotesOnChanges,HtcmMn,HtcmSD,HtcmCV,ID.1,spines,ToughMn,ToughSD,ToughCV,WdDens10Mn,WdDens10SD,WdDens10CV 
chimaphila_umbellata_n,chimaphila_umbellata_n,chiumb_n,60.02,2.03,0.8112,73.98915187,0.600394089,chiumb_n,888,CHIUMB-N,N,1.02,46,45.09803922,,22.9,5.971227307,0.260752284,NA,NA,435,70.74995092,0.162643565,NA,NA,NA
chimaphila_umbellata_s,chimaphila_umbellata_s,chiumb_s,37.488,1.1425,0.3471,108.0034572,0.69619256,chiumb_s,889,CHIUMB-S,S,1.12,47.61,42.50892857,,7.2,1.813529401,0.251879083,NA,NA,316.5,46.13085253,0.145753089,NA,NA,NA
chlorogalum_pomeridianum_n,chlorogalum_pomeridianum_n,chlpom_n,983.183,36.2555,6.935,141.7711608,0.808718677,chlpom_n,138,CHLPOM-N,N,1.76,41.06,23.32954545,,39.3,9.031426613,0.229807293,NA,NA,371.5,70.79116392,0.19055495,NA,NA,NA
chlorogalum_pomeridianum_s,chlorogalum_pomeridianum_s,chlpom_s,286.38,9.642,2.5689,111.4796216,0.733571873,chlpom_s,135,CHLPOM-S,S,3.17,42.67,13.46056782,,23.47,4.922973356,0.209756002,NA,NA,3.2,0.531245915,0.166014348,NA,NA,NA
chorizanthe_membranacea_n,chorizanthe_membranacea_n,chomem_n,6.74,0.1632,0.0472,142.7966102,0.710784314,chomem_n,890,CHOMEM-N,N,1.12,41.26,36.83928571,,25.2,7.146094504,0.283575179,NA,NA,21.75,3.304037934,0.15190979,NA,NA,NA
chorizanthe_membranacea_s,chorizanthe_membranacea_s,chomem_s,5.89,0.1652,0.0524,112.4045802,0.682808717,chomem_s,891,CHOMEM-S,S,1.29,42.02,32.57364341,,26.1,6.41958808,0.245961229,NA,NA,NA,NA,NA,NA,NA,NA
chorizanthe_polygonoides_s,chorizanthe_polygonoides_s,chopol_s,2.394,0.0516,0.0184,130.1086957,0.643410853,chopol_s,892,CHOPOL-S,S,0.4,40.66,101.65,,0.85,0.362859018,0.426892962,NA,NA,NA,NA,NA,NA,NA,NA
chrysolepis_chrysophylla_var_chrysophylla_n,chrysolepis_chrysophylla_var_chrysophylla_n,chrchr_n,55.972,1.7601,0.8647,64.72996415,0.508721095,chrchr_n,893,CHRCHR-N,N,0.86,49.71,57.80232558,,700,339.9346342,0.485620906,NA,NA,568,124.8376724,0.219784634,0.549907435,0.035977641,0.065424903
chrysolepis_sempervirens_n,chrysolepis_sempervirens_n,chrsem_n,48.398,1.8092,0.7992,60.55805806,0.558257793,chrsem_n,895,CHRSEM-N,N,1.17,48.14,41.14529915,,113.6,44.15427499,0.388681998,NA,NA,439,42.91593851,0.097758402,0.484044858,0.028488932,0.058855974
chrysothamnus_nauseosus_s,chrysothamnus_nauseosus_s,chrnau_s,5.251,0.1715,0.0741,70.86369771,0.567930029,chrnau_s,894,CHRNAU-S,S,1.74,47.9,27.52873563,,38,5.374838499,0.141443118,NA,NA,NA,NA,NA,0.601520524,0.118349107,0.196749907
circaea_alpina_ssp_pacifica_n,circaea_alpina_ssp_pacifica_n,ciralp_n,59.897,0.9277,0.1063,563.4713076,0.885415544,ciralp_n,896,CIRALP-N,N,2.59,39.38,15.2046332,,8,1.825741858,0.228217732,NA,NA,89.8,44.50168536,0.495564425,NA,NA,NA
cirsium_vulgare_n,cirsium_vulgare_n,cirvul_n,579.107,32.9133,4.0437,143.2121572,0.877140852,cirvul_n,897,CIRVUL-N,N,1.28,36.89,28.8203125,,79.9,29.05722324,0.363669878,12,2,164.5,35.678347,0.216889647,NA,NA,NA
clarkia_concinna_n,clarkia_concinna_n,clacon_n,11.336,0.414,0.08,141.7,0.806763285,clacon_n,898,CLACON-N,N,0.88,40.92,46.5,,15.8,3.82390144,0.242019078,NA,NA,NA,NA,NA,NA,NA,NA
clarkia_concinna_s,clarkia_concinna_s,clacon_s,12.127,0.3579,0.0675,179.6592593,0.811399832,clacon_s,899,CLACON-S,S,0.97,40.94,42.20618557,,21.5,7.276293318,0.338432247,NA,NA,NA,NA,NA,NA,NA,NA
clarkia_gracilis_n,clarkia_gracilis_n,clagra_n,4.357,0.1141,0.0274,159.0145985,0.759859772,clagra_n,902,CLAGRA-N,N,1.92,40.39,21.03645833,,16.95,10.58418632,0.624435771,NA,NA,NA,NA,NA,NA,NA,NA
clarkia_gracilis_s,clarkia_gracilis_s,clagra_s,10.899,0.3619,0.0526,207.2053232,0.854655982,clagra_s,903,CLAGRA-S,S,2.52,40.89,16.22619048,,33.5,6.867799259,0.205008933,NA,NA,NA,NA,NA,NA,NA,NA
clarkia_purpurea_n,clarkia_purpurea_n,clapur_n,5.052,0.1758,0.0342,147.7192982,0.805460751,clapur_n,909,CLAPUR-N,N,1.93,41.11,21.30051813,,21.5,6.620674689,0.307938358,NA,NA,NA,NA,NA,NA,NA,NA
clarkia_purpurea_s,clarkia_purpurea_s,clapur_s,7.323,0.259,0.0482,151.9294606,0.813899614,clapur_s,910,CLAPUR-S,S,2.96,41.05,13.86824324,,16.2,3.425395354,0.211444158,NA,NA,NA,NA,NA,NA,NA,NA
clarkia_rhomboidea_n,clarkia_rhomboidea_n,clarho_n,41.165,1.9106,0.4721,87.19550943,0.752904847,clarho_n,911,CLARHO-N,N,3.04,41.7,13.71710526,,31.5,15.44344521,0.490268102,NA,NA,NA,NA,NA,NA,NA,NA
claytonia_exigua_n,claytonia_exigua_n,claexi_n,7.83,0.6482,0.0463,169.1144708,0.928571429,claexi_n,900,CLAEXI-N,N,0.58,35.46,61.13793103,,3.75,0.634647759,0.169239402,NA,NA,NA,NA,NA,NA,NA,NA
claytonia_exigua_s,claytonia_exigua_s,claexi_s,4.236,0.3414,0.0223,189.955157,0.934680726,claexi_s,901,CLAEXI-S,S,1.47,35.76,24.32653061,,2.15,0.579750904,0.269651583,NA,NA,NA,NA,NA,NA,NA,NA
claytonia_lanceolata_n,claytonia_lanceolata_n,clalan_n,60.888,1.7928,0.0464,1312.241379,0.974118697,clalan_n,904,CLALAN-N,N,6.23,38.57,6.191011236,,4.9,1.595131482,0.325537037,NA,NA,23.9,8.345990388,0.349204619,NA,NA,NA
claytonia_parviflora_n,claytonia_parviflora_n,clapar_n,16.563,0.7682,0.0415,399.1084337,0.94597761,clapar_n,905,CLAPAR-N,N,2.33,35.36,15.17596567,,8.45,1.739252713,0.205828723,NA,NA,121.2,23.11228629,0.190695431,NA,NA,NA
claytonia_parviflora_s,claytonia_parviflora_s,clapar_s,13.931,0.43,0.0338,412.1597633,0.921395349,clapar_s,907,CLAPAR-S,S,3.39,36.77,10.84660767,,8.6,3.893013686,0.45267601,NA,NA,NA,NA,NA,NA,NA,NA
claytonia_perfoliata_n,claytonia_perfoliata_n,claper_n,252.89,5.61,0.3689,685.5245324,0.934242424,claper_n,906,CLAPER-N,N,3.55,38.7,10.90140845,,32.5,2.635231383,0.081084043,NA,NA,61.4,10.16748631,0.16559424,NA,NA,NA
claytonia_perfoliata_s,claytonia_perfoliata_s,claper_s,14.512,0.4424,0.0198,732.9292929,0.955244123,claper_s,908,CLAPER-S,S,2.3,35.16,15.28695652,,5.2,2.097617696,0.403388019,NA,NA,NA,NA,NA,NA,NA,NA
claytonia_sibirica_n,claytonia_sibirica_n,clasib_n,83.163,1.5518,0.1061,783.8171536,0.931627787,clasib_n,912,CLASIB-N,N,3.2,37.26,11.64375,,17.3,5.034326613,0.291001538,NA,NA,45.6,7.705697748,0.1689846,NA,NA,NA
clematis_lasiantha_n,clematis_lasiantha_n,clelas_n,250.296,5.83745,2.1963,139.33238,0.623756949,clelas_n,913,CLELAS-N,N,2.13,40.77,19.14084507,,264.4166667,113.1173633,0.427799672,NA,NA,165,28.63564213,0.173549346,NA,NA,NA
clintonia_uniflora_n,clintonia_uniflora_n,cliuni_n,203.007,7.4,0.6075,334.1679012,0.917905405,cliuni_n,915,CLIUNI-N,N,2.41,43.05,17.86307054,,5,2.624669291,0.524933858,NA,NA,217,52.71516754,0.242927039,NA,NA,NA
collinsia_heterophylla_n,collinsia_heterophylla_n,colhet_n,62.772,1.4694,0.288,217.9583333,0.804001633,colhet_n,917,COLHET-N,N,1.16,40.5,34.9137931,,38.4,8.745792639,0.227755017,NA,NA,NA,NA,NA,NA,NA,NA
collinsia_rattanii_s,collinsia_rattanii_s,colrat_s,25.479,0.96,0.2064,123.4447674,0.785,colrat_s,920,COLRAT-S,S,2.15,44.51,20.70232558,,5.9,1.791957341,0.303721583,NA,NA,111,43.83048153,0.394869203,NA,NA,NA
collinsia_sparsiflora_n,collinsia_sparsiflora_n,colspa_n,6.851,0.17125,0.02475,276.56056,0.855474453,colspa_n,921,COLSPA-N,N,2.11,39.03,18.49763033,,15.7,4.152995114,0.264521982,NA,NA,NA,NA,NA,NA,NA,NA
collinsia_sparsiflora_s,collinsia_sparsiflora_s,colspa_s,5.241,0.1512,0.023,227.8695652,0.847883598,colspa_s,922,COLSPA-S,S,4.41,42.85,9.716553288,,9.76,1.40649288,0.144107877,NA,NA,NA,NA,NA,NA,NA,NA
collomia_diversifolia_s,collomia_diversifolia_s,coldiv_s,13.248,0.689,0.0984,134.6341463,0.857184325,coldiv_s,916,COLDIV-S,S,1.96,37.94,19.35714286,,2.1,0.567646212,0.27030772,NA,NA,130,10.6249183,0.081730141,NA,NA,NA
collomia_heterophylla_n,collomia_heterophylla_n,colhet2_n,11.091,0.3056,0.0514,215.7782101,0.831806283,colhet2_n,918,COLHET2-N,N,1.55,41.64,26.86451613,,5,2.697735676,0.539547135,NA,NA,NA,NA,NA,NA,NA,NA
collomia_heterophylla_s,collomia_heterophylla_s,colhet2_s,31.881,0.865,0.1285,248.1011673,0.851445087,colhet2_s,919,COLHET2-S,S,3.04,39.88,13.11842105,,5.2,1.437590577,0.276459726,NA,NA,88,41.57990968,0.472498974,NA,NA,NA
convolvulus_arvensis_n,convolvulus_arvensis_n,conarv_n,69.614,1.6151,0.278,250.4100719,0.827874435,conarv_n,923,CONARV-N,N,4.4,43.33,9.847727273,,15.8,3.938414797,0.249266759,NA,NA,90.7,18.01264988,0.198595919,NA,NA,NA
coptis_laciniata_n,coptis_laciniata_n,coplac_n,263.554,4.265,1.3245,198.9837675,0.689449004,coplac_n,924,COPLAC-N,N,1.18,43.48,36.84745763,,7.58,2.744206018,0.362032456,NA,NA,266,69.95236474,0.262978815,NA,NA,NA
cordylanthus_tenuis_ssp_viscidus_s,cordylanthus_tenuis_ssp_viscidus_s,corten_s,6.023,NA,0.0365,165.0136986,NA,corten_s,928,CORTEN-S,S,1.81,38.18,21.09392265,,19.9,4.228212125,0.212472971,NA,NA,NA,NA,NA,NA,NA,NA
cornus_nuttallii_n,cornus_nuttallii_n,cornut_n,330.073,5.883,1.5541,212.3885207,0.735832058,cornut_n,926,CORNUT-N,N,1.71,44.18,25.83625731,,474.4444444,132.7696418,0.279842336,NA,NA,105,48.44964831,0.461425222,0.575367029,0.078338114,0.13615329
cornus_sericea_s,cornus_sericea_s,corser_s,151.867,2.622,0.9943,152.7376043,0.62078566,corser_s,927,CORSER-S,S,1.43,43.67,30.53846154,,232,44.91968141,0.193619316,NA,NA,65.5,12.7910559,0.195283296,0.569315809,0.111408028,0.195687572
corylus_cornuta_n,corylus_cornuta_n,corcor_n,296.027,2.5517,0.724,408.8770718,0.716267586,corcor_n,925,CORCOR-N,N,3.27,44.22,13.52293578,,160,114.3687992,0.714804995,NA,NA,60.7,6.412661087,0.105645158,0.441695762,0.035192742,0.079676431
cryptantha_flaccida_n,cryptantha_flaccida_n,cryfla_n,3.768,0.1139,0.0276,136.5217391,0.757682177,cryfla_n,929,CRYFLA-N,N,0.87,31.67,36.40229885,,36.6,10.27618606,0.280770111,NA,NA,NA,NA,NA,NA,NA,NA
cryptantha_flaccida_s,cryptantha_flaccida_s,cryfla_s,1.939,0.052,0.0128,151.484375,0.753846154,cryfla_s,933,CRYPLA-S,S,1.65,35.61,21.58181818,cryfla_s missing from CN,23.1,6.41958808,0.277904246,NA,NA,NA,NA,NA,NA,NA,NA
cryptantha_hispidula_n,cryptantha_hispidula_n,cryhis_n,7.032,0.2403,0.0445,158.0224719,0.814814815,cryhis_n,930,CRYHIS-N,N,1.82,36.62,20.12087912,,32.05,7.193554213,0.224447869,NA,NA,NA,NA,NA,NA,NA,NA
cryptantha_hispidula_s,cryptantha_hispidula_s,cryhis_s,4.805,0.1803,0.0353,136.1189802,0.804215197,cryhis_s,931,CRYHIS-S,S,1.58,37.79,23.91772152,,7.3,1.82878223,0.250518114,NA,NA,NA,NA,NA,NA,NA,NA
cryptantha_muricata_n,cryptantha_muricata_n,crymur_n,4.161,0.1073,0.0341,122.0234604,0.682199441,crymur_n,934,CRYMUR-N,N,0.69,35.49,51.43478261,,22.8,7.743097284,0.33960953,NA,NA,NA,NA,NA,NA,NA,NA
cupressus_bakeri_s,cupressus_bakerii_s,cupbak_s,1.963,0.1035,0.0915,21.45355191,0.115942029,cupbak_s,935,CUPBAK-S,S,0.87,50.45,57.98850575,,800,173.2050808,0.216506351,NA,NA,NA,NA,NA,0.626973887,0.075442814,0.120328479
cupressus_lawsoniana_n,cupressus_lawsoniana_n,cuplaw_n,7.364,0.0872,0.0804,91.5920398,0.077981651,cuplaw_n,936,CUPLAN-N,N,1.41,47.52,33.70212766,cuplaw_n missing from CN,2700,630.6962643,0.233591209,NA,NA,NA,NA,NA,0.539431071,0.04165496,0.077220172
cupressus_lawsoniana_s,cupressus_lawsoniana_s,cuplaw_s,0.15,0.0019,0.0032,46.875,-0.684210526,cuplaw_s,932,CUPLAW-S,S,0.65,49.57,76.26153846,,1133.3,624.5823582,0.55111829,NA,NA,NA,NA,NA,0.513908952,0.099631128,0.193869222
cupressus_macnabiana_s,cupressus_macnabiana_s,cupmac_s,0.234,0.0088,0.0048,48.75,0.454545455,cupmac_s,937,CUPMCN-S,S,0.99,48.59,49.08080808,cupmac_s missing from CN,375,79.0569415,0.210818511,NA,NA,NA,NA,NA,0.58669875,0.086760963,0.147879918
cupressus_sargentii_s,cupressus_sargentii_s,cupsar_s,0.17,0.0029,0.002,85,0.310344828,cupsar_s,938,CUPSAR-S,S,0.92,39.23,42.64130435,,635,141.5195314,0.222865404,NA,NA,NA,NA,NA,0.552024594,0.060548127,0.109683748
cynoglossum_grande_n,cynoglossum_grande_n,cyngra_n,542.258,19.637,3.3819,160.3412283,0.827779192,cyngra_n,155,CYNGRA-N,N,3.4,44.22,13.00588235,,35.5,7.245688373,0.204103898,NA,NA,1.421428571,0.44059151,0.309963877,NA,NA,NA
cynoglossum_grande_s,cynoglossum_grande_s,cyngra_s,815.569,30.5424,5.9716,136.5746199,0.804481639,cyngra_s,941,CYNGRA-S,S,2.75,42.35,15.4,,44.1,6.208417225,0.140780436,NA,NA,137.5,40.63728447,0.295543887,NA,NA,NA
cynosurus_echinatus_n,cynosurus_echinatus_n,cynech_n,47.391,0.5445,0.1372,345.4154519,0.748025712,cynech_n,939,CYNECH-N,N,1.11,39.5,35.58558559,,66.1,14.74562082,0.223080497,NA,NA,NA,NA,NA,NA,NA,NA
cynosurus_echinatus_s,cynosurus_echinatus_s,cynech_s,37.227,0.4904,0.1095,339.9726027,0.776712887,cynech_s,940,CYNECH-S,S,0.84,47.66,56.73809524,,29.3,7.986794657,0.272586848,NA,NA,165.7,18.72639255,0.113013836,NA,NA,NA
cystopteris_fragilis_n,cystopteris_fragilis_n,cysfra_n,272.796,5.3,0.8712,313.1267218,0.835622642,cysfra_n,942,CYSTFRC-N,N,3.61,43.72,12.11080332,cysfra_n missing from CN,18,3.887301263,0.215961181,NA,NA,NA,NA,NA,NA,NA,NA
cytisus_scoparius_n,cytisus_scoparius_n,cytsco_n,4.975,0.0983,0.029,171.5517241,0.704984741,cytsco_n,943,CYTSCO-N,N,3.43,47.29,13.78717201,,176.2,25.96921254,0.147384861,NA,NA,NA,NA,NA,0.692256588,0.189936136,0.27437245
dactylis_glomerata_n,dactylis_glomerata_n,dacglo_n,143.936,3.2784,0.9126,157.7207977,0.721632504,dacglo_n,52,DACGLO-N,N,1.66,40.41,24.34337349,,111.5,22.78035216,0.204308091,NA,NA,4.01,0.629726572,0.157039045,NA,NA,NA
danthonia_californica_n,danthonia_californica_n,dancal_n,25.266,0.3799,0.1265,199.7312253,0.667017636,dancal_n,53,DANCAL-N,N,2.56,42.37,16.55078125,,18.1,3.956710194,0.218602773,NA,NA,NA,NA,NA,NA,NA,NA
danthonia_californica_s,danthonia_californica_s,dancal_s,39.833,0.85,0.33,120.7060606,0.611764706,dancal_s,54,DANCAL-S,S,1.61,41.27,25.63354037,,19.4,3.806427313,0.196207593,NA,NA,4.3,1.385640646,0.322242011,NA,NA,NA
daucus_pusillus_n,daucus_pusillus_n,daupus_n,28.078,0.5144,0.1221,229.95905,0.762636081,daupus_n,56,DAUPUS-N,N,2.63,40.99,15.58555133,,12.9,3.348299734,0.259558119,NA,NA,NA,NA,NA,NA,NA,NA
daucus_pusillus_s,daucus_pusillus_s,daupus_s,67.744,1.5448,0.3529,191.9637291,0.771556189,daupus_s,57,DAUPUS-S,S,2.9,42.26,14.57241379,,24.2,5.808040404,0.24000167,NA,NA,NA,NA,NA,NA,NA,NA
delphinium_cardinale_n,delphinium_cardinale_n,delcar_n,209.009,4.6338,0.6013,347.5952104,0.870236091,delcar_n,198,DELCAR-N,N,2.68,39.06,14.57462687,,52.1,13.08476638,0.251147147,NA,NA,1.23,0.408384351,0.332019797,NA,NA,NA
delphinium_hesperium_n,delphinium_hesperium_n,delhes_n,71.532,3.2228,0.6259,114.2866273,0.805789996,delhes_n,58,DELHES-N,N,1.45,37.41,25.8,,53.4,11.4523166,0.214462858,NA,NA,NA,NA,NA,NA,NA,NA
delphinium_hesperium_s,delphinium_hesperium_s,delhes_s,136.055,6.2862,1.1196,121.521079,0.821895581,delhes_s,59,DELHES-S,S,1.94,37.79,19.47938144,,72.1,8.020113604,0.111235972,NA,NA,NA,NA,NA,NA,NA,NA
delphinium_nuttallianum_n,delphinium_nuttallianum_n,delnut_n,107.465,2.8499,0.2685,400.2420857,0.905786168,delnut_n,166,DELNUT-N,N,2.63,37.98,14.44106464,,25.2,7.885288693,0.312908281,NA,NA,60.4,19.4547909,0.322099187,NA,NA,NA
delphinium_nuttallianum_s,delphinium_nuttallianum_s,delnut_s,53.37,1.94,0.3107,171.7734149,0.839845361,delnut_s,60,DELNUT-S,S,1.81,37.75,20.85635359,,18.6,2.503331114,0.134587694,NA,NA,1.355555556,0.485054407,0.357827022,NA,NA,NA
delphinium_variegatum_n,delphinium_variegatum_n,delvar_n,78.613,2.4207,0.4679,168.0123958,0.806708803,delvar_n,61,DELVAR-N,N,2.01,37.68,18.74626866,,25.8,6.494442068,0.251722561,NA,NA,NA,NA,NA,NA,NA,NA
delphinium_variegatum_s,delphinium_variegatum_s,delvar_s,89.576,3.6793,0.6491,138.0003081,0.823580572,delvar_s,62,DELVAR-S,S,2.04,39.76,19.49019608,,21.9,8.00624756,0.36558208,NA,NA,153.2,31.06909862,0.202800905,NA,NA,NA
dendromecon_rigida_n,dendromecon_rigida_n,denrig_n,17.783,0.7724,0.3167,56.15093148,0.589979285,denrig_n,63,DENRIG-N,N,1.67,44.92,26.89820359,,138.5,40.69193204,0.293804563,NA,NA,NA,NA,NA,0.607439923,0.422257039,0.695142059
dendromecon_rigida_s,dendromecon_rigida_s,denrig_s,28.138,1.4744,0.5009,56.17488521,0.660268584,denrig_s,64,DENRIG-S,S,1.4,44.41,31.72142857,,86,30.25814858,0.351838937,NA,NA,NA,NA,NA,0.459297012,0.055833679,0.121563341
deschampsia_danthonioides_n,deschampsia_danthonioides_n,desdan_n,1.511,0.01,0.0048,314.7916667,0.52,desdan_n,65,DESDAN-N,N,0.88,39.84,45.27272727,,35.1,4.458450154,0.127021372,NA,NA,NA,NA,NA,NA,NA,NA
dicentra_chrysantha_n,dicentra_chrysantha_n,dicchr_n,433.266,14.467,3.7934,114.2157431,0.737789452,dicchr_n,68,DICCHR-N,N,1.92,39.7,20.67708333,,123,32.19730838,0.261766735,NA,NA,NA,NA,NA,NA,NA,NA
dicentra_chrysantha_s,dicentra_chrysantha_s,dicchr_s,109.452,3.7249,0.913,119.8817087,0.754892749,dicchr_s,69,DICCHR-S,S,2.06,39.72,19.2815534,,57,10.29563014,0.18062509,NA,NA,NA,NA,NA,NA,NA,NA
dicentra_formosa_n,dicentra_formosa_n,dicfor_n,1233.215,32.582,4.196,293.9025262,0.871217237,dicfor_n,73,DICFOR-N,N,4.46,45.53,10.20852018,,29.8,6.01479657,0.201838811,NA,NA,0.62,0.345768066,0.557690429,NA,NA,NA
dichelostemma_capitatum_n,dichelostemma_capitatum_n,diccap_n,99.074,7.3,0.9932,99.75231575,0.863945205,diccap_n,67,DICCAP-?,N,1.4,39.14,27.95714286,diccap_n missing from CN,44,8.432740427,0.191653192,NA,NA,197.5,33.10337344,0.167612017,NA,NA,NA
dichelostemma_capitatum_s,dichelostemma_capitatum_s,diccap_s,87.017,4.6884,0.8459,102.8691335,0.819575975,diccap_s,66,DICCAP-S,S,2.22,40.93,18.43693694,,17.07,5.937273972,0.347819213,NA,NA,3.85,1.075226074,0.2792795,NA,NA,NA
dichelostemma_congestum_n,dichelostemma_congestum_n,diccon_n,118.168,5.0943,0.686,172.2565598,0.865339693,diccon_n,70,DICCON-N,N,1.1,37.09,33.71818182,,55.1,14.89556235,0.270336885,NA,NA,NA,NA,NA,NA,NA,NA
dichelostemma_congestum_s,dichelostemma_congestum_s,diccon_s,167.558,8.0583,1.1819,141.7700313,0.853331348,diccon_s,71,DICCON-S,S,0.92,37.31,40.55434783,,73.3,13.02177663,0.177650432,NA,NA,NA,NA,NA,NA,NA,NA
dichelostemma_volubile_n,dichelostemma_volubile_n,dicvol_n,164.962,4.5553,0.8001,206.1767279,0.82435844,dicvol_n,72,DICVOL-N,N,0.95,38.16,40.16842105,,54.6,14.5005747,0.265578291,NA,NA,NA,NA,NA,NA,NA,NA
dodecatheon_hendersonii_n,dodecatheon_hendersonii_n,dodhen_n,80.929,3.3777,0.3228,250.7094176,0.90443201,dodhen_n,74,DODHEN-N,N,1.87,37.44,20.02139037,,26.5,6.867799259,0.259162236,NA,NA,127.8,18.59390581,0.145492221,NA,NA,NA
dodecatheon_hendersonii_s,dodecatheon_hendersonii_s,dodhen_s,95.435,3.189,0.2755,346.4065336,0.913609282,dodhen_s,75,DODHEN-S,S,2.32,38.89,16.76293103,,21.6,2.458545189,0.113821537,NA,NA,NA,NA,NA,NA,NA,NA
dryopteris_arguta_n,dryopteris_arguta_n,dryarg_n,2596.364,50.9511,18.435,140.8388392,0.638182493,dryarg_n,76,DRYARG-N,N,1.37,43.85,32.00729927,,51,10.31719169,0.202297876,NA,NA,NA,NA,NA,NA,NA,NA
elymus_elymoides_n,elymus_elymoides_n,elyely_n,12.658,0.2832,0.1521,83.22156476,0.462923729,elyely_n,28,ELYELY-N,N,0.76,34.05,44.80263158,,41,6.055300708,0.147690261,NA,NA,NA,NA,NA,NA,NA,NA
elymus_elymoides_s,elymus_elymoides_s,elyely_s,12.928,0.2557,0.1518,85.16469038,0.406335549,elyely_s,77,ELYELY-S,S,2.03,38.45,18.9408867,,33.9,2.024845673,0.059729961,NA,NA,NA,NA,NA,NA,NA,NA
elymus_glaucus_n,elymus_glaucus_n,elygla_n,79.181,0.9447,0.2804,282.3858773,0.703186197,elygla_n,29,ELYGLA-N,N,3.25,43.64,13.42769231,,94.7,10.65676624,0.11253185,NA,NA,3.454,0.685876568,0.198574571,NA,NA,NA
elymus_glaucus_s,elymus_glaucus_s,elygla_s,80.042,0.9267,0.3353,238.7175664,0.638178483,elygla_s,78,ELYGLA-S,S,1.46,36.47,24.97945205,,83.9,13.74732297,0.163853671,NA,NA,2.25,1.423805542,0.632802463,NA,NA,NA
elymus_multisetus_s,elymus_multisetus_s,elymul_s,24.3855,0.5316,0.20805,119.92143,0.608634312,elymul_s,79,ELYMUL-S,S,2.38,41.06,17.25210084,,24.6,4.647580015,0.188926017,NA,NA,NA,NA,NA,NA,NA,NA
elytrigia_repens_n,elytrigia_repens_n,elyrep_n,31.238,0.8856,0.383,81.5613577,0.567524842,elyrep_n,81,ELYREP-N,N,1.44,42.98,29.84722222,,101.5,14.72148845,0.145039295,NA,NA,NA,NA,NA,NA,NA,NA
emmenanthe_penduliflora_n,emmenanthe_penduliflora_n,emmpen_n,12.925,0.3103,0.0862,149.9419954,0.722204318,emmpen_n,82,EMMPEN-N,N,1.3,35.81,27.54615385,,28.7,5.437523946,0.189460765,NA,NA,NA,NA,NA,NA,NA,NA
emmenanthe_penduliflora_s,emmenanthe_penduliflora_s,emmpen_s,24.828,0.5588,0.159,156.1509434,0.715461704,emmpen_s,83,EMMPEN-S,S,1.07,38.75,36.21495327,,17.8,7.983315936,0.448500895,NA,NA,NA,NA,NA,NA,NA,NA
epilobium_brachycarpum_n,epilobium_brachycarpum_n,epibra_n,9.658,0.313,0.0831,116.22142,0.734504792,epibra_n,84,EPIBRA-N,N,1.7,41.73,24.54705882,,46.3,13.22497637,0.285636639,NA,NA,NA,NA,NA,NA,NA,NA
epilobium_brachycarpum_s,epilobium_brachycarpum_s,epibra_s,16.934,0.5288,0.117,144.7350427,0.778744327,epibra_s,85,EPIBRA-S,S,2.74,43.05,15.71167883,,108.8,18.26228658,0.167851899,NA,NA,NA,NA,NA,NA,NA,NA
epilobium_minutum_n,epilobium_minutum_n,epimin_n,4.206,0.1124,0.0333,126.3063063,0.703736655,epimin_n,86,EPIMIN-N,N,1.35,40.86,30.26666667,,8.2,2.529822128,0.308514894,NA,NA,NA,NA,NA,NA,NA,NA
epilobium_minutum_s,epilobium_minutum_s,epimin_s,3.712,0.1198,0.0293,126.6894198,0.75542571,epimin_s,87,EPIMIN-S,S,1.51,40.21,26.62913907,,8.3,2.869378562,0.345708261,NA,NA,NA,NA,NA,NA,NA,NA
epilobium_rigidum_s,epilobium_rigidum_s,epirig_s,22.03,0.445,0.1067,206.4667291,0.760224719,epirig_s,88,EPIRIG-S,S,2.38,43.94,18.46218487,,7.3,3.433495142,0.4703418,NA,NA,81,24.81039209,0.306301137,NA,NA,NA
eremocarpus_setigerus_n,eremocarpus_setigerus_n,ereset_n,29.615,0.5646,0.149,198.7583893,0.736096351,ereset_n,89,ERESET-N,N,2.76,43.05,15.59782609,,1.65,0.709068246,0.429738331,NA,NA,77.1,19.42192347,0.251905622,NA,NA,NA
eremocarpus_setigerus_s,eremocarpus_setigerus_s,ereset_s,14.762,0.2428,0.0822,179.5863747,0.661449753,ereset_s,90,ERESET-S,S,2.02,39.33,19.47029703,,1.45,0.514781507,0.355021729,NA,NA,80.9,18.98800791,0.234709616,NA,NA,NA
ericameria_arborescens_n,ericameria_arborescens_n,eriarb_n,4.825,0.2436,0.0805,59.9378882,0.66954023,eriarb_n,120,ERIARB-N,N,3.47,48.61,14.00864553,,122.4,19.23076239,0.157114072,NA,NA,NA,NA,NA,0.556811755,0.106899936,0.191985774
ericameria_greenei_s,ericameria_greenei_s,erigre_s,4.181,0.0917,0.0314,133.1528662,0.657579062,erigre_s,168,ERIGRE-S,S,2.97,45.16,15.20538721,,16.2,3.765338999,0.232428333,NA,NA,NA,NA,NA,NA,NA,NA
ericameria_linearifolia_n,ericameria_linearifolia_n,erilin_n,1.751,0.0663,0.0366,47.84153005,0.447963801,erilin_n,121,ERILIN-N,N,1.3,49.61,38.16153846,,45.4,5.94792214,0.131011501,NA,NA,NA,NA,NA,0.6104045,0.102263829,0.167534527
