id,old_id,code.x,area_cm2,fresh_wt_g,dry_wt_g,sla_cm2_g,lwc,code.y,Sample.number,Species.code,ecotype,X.N,X.C,C.N,NotesOnChanges,HtcmMn,HtcmSD,HtcmCV,ID.1,spines,ToughMn,ToughSD,ToughCV,WdDens10Mn,WdDens10SD,WdDens10CV
allium_serra_n,allium_serra_n,allser_n,81.604,5.3591,0.8188,99.66292135,0.847213151,allser_n,701,ALLSER-N,N,1.15,39.56,34.4,,25.5,4.006938427,0.15713484,NA,NA,NA,NA,NA,NA,NA,NA
alnus_rhombifolia_n,alnus_rhombifolia_n,alnrho_n,230.924,3.4468,1.2831,179.9735017,0.627741673,alnrho_n,702,ALNRHO-N,N,1.85,42.75,23.10810811,,1035,260.3949991,0.251589371,NA,NA,148.5,27.4924232,0.185134163,0.550218197,0.122613158,0.222844608
alnus_rubra_n,alnus_rubra_n,alnrub_n,274.262,5.3368,1.8798,145.8995638,0.647766452,alnrub_n,703,ALNRUB-N,N,2.41,47.78,19.82572614,,1030,305.6868405,0.29678334,NA,NA,85.9,19.10468238,0.222406081,0.475006772,0.075232042,0.158380989
amelanchier_alnifolia_ssp_semiintegrifolia_n,amelanchier_alnifolia_ssp_semiintegrifolia_n,amealn_n,45.309,0.5314,0.19855,217.37127,0.626364321,amealn_n,704,AMEALN-N,N,2.39,43.94,18.38493724,,149.6,95.07526105,0.63552982,NA,NA,88,32.17550556,0.365630745,0.70912531,0.10171171,0.143432633
amelanchier_alnifolia_ssp_semiintegrifolia_s,amelanchier_alnifolia_ssp_semiintegrifolia_s,amealn_s,23.769,0.4775,0.2148,110.6564246,0.550157068,amealn_s,705,AMEALN-S,S,1.94,47.97,24.72680412,,83.1,26.99567867,0.324857746,NA,NA,86.3,14.39174146,0.166764096,0.726822124,0.069576456,0.095726937
amelanchier_utahensis_s,amelanchier_utahensis_s,ameuta_s,30.918,0.5205,0.2121,145.7708628,0.592507205,ameuta_s,706,AMEUTA-S,S,2.08,46.06,22.14423077,,44.4,13.92998365,0.31373837,NA,NA,118.4,28.2889849,0.238927237,0.623432917,0.103781377,0.166467593
amsinckia_menziesii_n,amsinckia_menziesii_n,amsmen_n,15.974,0.3931,0.0887,180.0901917,0.77435767,amsmen_n,152,AMSMEN-N,N,2.87,38.92,13.56097561,,46.2,12.51488003,0.270884849,NA,NA,60.3,21.81767887,0.361818887,NA,NA,NA
amsinckia_menziesii_s,amsinckia_menziesii_s,amsmen_s,18.266,0.6177,0.0969,188.503612,0.843127732,amsmen_s,707,AMSMEN-S,S,2.61,38.2,14.63601533,,15.9,4.201851444,0.264267386,NA,NA,NA,NA,NA,NA,NA,NA
anagallis_arvensis_n,anagallis_arvensis_n,anaarv_n,10.832,0.2065,0.0342,316.7251462,0.834382567,anaarv_n,709,ANAARV-N,N,1.95,42.77,21.93333333,,10.95,4.336216989,0.396001552,NA,NA,158,39.66526608,0.251045988,NA,NA,NA
anagallis_arvensis_s,anagallis_arvensis_s,anaarv_s,8.25,0.1476,0.0211,390.9952607,0.85704607,anaarv_s,708,ANAARV-S,S,1.92,40.6,21.14583333,,10.1,2.960855732,0.293154033,NA,NA,NA,NA,NA,NA,NA,NA
