PlotID,year,Transect,basal_veg_percent,rock_percent,BG_percent,burrow_percent,litter_percent,Litter_depth_cm,scat_percent,SH_cover_percent,HB_cover_percent,SH_ht_cm,black_ash_percent,white_ash_percent,moss_percent,notes
BOB008,2021,Q2,15,2,45,0,38,0.1,0,20,15,0.2,,20.5,,
BOB017,2021,Q1,1,16,37,0,46,0.1,0,15,28,0.2,,,,
BOB017,2021,Q4,4,30,54,0,12,0.1,0,12,45,0.2,,,,
CCC007,2021,Q1,0,2,84,0,14,0.1,0,4,60,0.2,,,,
CCC012,2021,Q1,0,0.5,70,0,30,0.1,0,4.5,65,0.2,,,,
CCC002,2021,Q1,3.5,3,89.5,0,4,0.1,0,3,4,0.22,,,0,
QUA020,2021,Q5,2,0,72.5,0.5,25,0.1,0,3,6.5,0.22,0,0,,
BOB019,2021,Q1,2,1,89,0,8,0.1,0,15,60,0.22,,,,
BOB014,2021,Q2,1,1,68,0,30,0.1,0,20,60,0.22,,,,
BOB018,2021,Q1,2,45,33,0,20,0.1,0,8,50,0.23,,,,
CCC006,2021,Q2,5,17,78,0,0,na,0,2.6,0,0.24,,,,
CCC006,2021,Q5,6,6,88,0,0,na,0,2.1,0,0.25,,,,
BOB002,2021,Q3,,1,55,0,44,0.1,0,2,30,0.25,,,,
BOB005,2021,Q5,,1,69,0,31,na,0,3,37,0.25,,,,
BOB016,2021,Q1,0,0,70,34,30,0.1,0.3,8,38,0.25,,,,
BOB013,2021,Q3,6,10,56,18,28,0.1,0,8,53,0.25,,,,
BOB014,2021,Q3,3,0.5,70,0,26,0.1,0,10,70,0.25,,,,
BOB012,2021,Q1,9,1,22,0.5,68,0.1,0,14,70,0.26,,,,
BOB010,2021,Q4,1,4,72,0,23,0.1,0.1,4,35,0.28,,,,
BOB016,2021,Q3,7,0,58,26,42,0.1,0,20,55,0.28,,,,
BOB004,2021,Q3,,4,68,0,28,0.1,0,10,18,0.3,,,,
BOB009,2021,Q3,4,15,42,0,39,0.1,0,14,25,0.3,,,,
BOB015,2021,Q5,5,0,6,80,9,0.1,0,22,45,0.3,,,,
BOB011,2021,Q4,5,15,46,0,34,0.1,0,4,60,0.3,,,,
BOB019,2021,Q3,0.5,0,87.5,60,12,0.1,0,11,62,0.3,,,,
BOB012,2021,Q2,3,2,74,0,21,0.1,0,20,45,0.31,,,,
BOB012,2021,Q5,2,0,83,0,15,0.1,0,2,48,0.32,,,,
BOB018,2021,Q5,4,15,67,0,14,0.1,0,9,26,0.33,,,,
BOB019,2021,Q4,1,0.5,82.5,0,3,0.1,0,13,34,0.33,,,,
CCC003,2021,Q1,5,3.5,89,0,2.5,0.1,0,5,0.9,0.35,,,,
BOB009,2021,Q2,3,2,40,20,35,0.1,0,3,44,0.35,,,,
CCC009,2021,Q4,5,12,81,0,2,0.1,0,3,45,0.35,,,,
BOB015,2021,Q1,0,0,90,70,10,0.1,0,16,55,0.35,,,,
BOB015,2021,Q3,1,0,83,30,16,0.1,0,13,65,0.35,,,,
CCC006,2021,Q1,9,7,84,0,0,na,0,15,0,0.38,,,,
BOB018,2021,Q4,14,9,64,0,13,0.1,0,16,32,0.38,,,,
BOB012,2021,Q4,5,0.5,30,0.5,64,0.1,0,24,40,0.38,,,,
CCC010,2021,Q5,1.5,0.5,84,0,14,0.1,0,8,8,0.4,,,1,
BOB007,2021,Q2,12,50,2,0,36,0.1,0,40,18,0.4,,,,
CCC008,2021,Q1,3,13,79,0,5,0.1,0,8,40,0.4,,,,
BOB005,2021,Q4,,13,67,0,20,na,0,7,50,0.4,,,,
BOB015,2021,Q2,5,0,75,60,20,0.1,0,27,60,0.4,,,,
BOB015,2021,Q4,0,0,67,0,28,0.1,0,30,40,0.42,,,,
BOB007,2021,Q3,,5,25,15,70,0.1,0,6,62,0.42,,,,
BOB005,2021,Q3,,18,42,0,40,na,0,4,12,0.45,,,,
BOB007,2021,Q5,7,1,25,10,67,0.1,0,8,30,0.45,,,,
BOB011,2021,Q5,3,7,65,3,22,0.1,0,2,35,0.45,,,,
CCC010,2021,Q4,1.5,0,85,8,14,0.1,0,15,35,0.45,,,,
BOB016,2021,Q4,4,0,56,35,40,0.1,0,42,35,0.45,,,,
CCC009,2021,Q5,5,3,88,0,4,0.1,0,7,25,0.47,,,,
CCC011,2021,Q4,4,2,72,0,20,0.1,0.2,30,30,0.47,,,2,
BOB017,2021,Q2,0,74,12,0,14,0.1,0,6,15,0.48,,,,
CCC010,2021,Q2,3,0.5,83.5,0,13,0.1,0,20,12,0.5,,,,
BOB007,2021,Q4,5,1,8,0,85,0.1,1,42,27,0.5,,,,
BOB009,2021,Q1,6,1,16,0.5,77,0.1,0.3,11,50,0.5,,,,
BOB003,2021,Q4,,20,65,5,10,0.1,0,16,65,0.5,,,,
BOB016,2021,Q5,3,0,68,68,32,0.1,0,17,70,0.5,,,,
COL012,2021,Q3,,0,97,0,3,1,0,0.05,70,0.5,0,0,,
CCC011,2021,Q3,5,0,73,0,22,0.1,0,18,10,0.52,,,3,
BOB004,2021,Q5,,32,43,0,25,0.1,0,25,13,0.55,,,,
BOB010,2021,Q5,3,2,35,0,60,0.1,0,20,25,0.55,,,,
BOB009,2021,Q5,2,1,35,12,50,0.1,0,25,56,0.55,,,,
BOB011,2021,Q2,8,0.5,52,0,40,0.1,0,17,16,0.56,,,,
BOB018,2021,Q3,12,26,38,0,24,0.1,0,35,40,0.6,,,,
QUA015,2021,Q4,,7,12,0,81,0.1,0,0,0.5,1,0,0,,
QUA011,2021,Q5,,3,45,0,1,1,0,0.05,0.5,1,10,tr,,
QUA016,2021,Q4,,15,2,0,83,15,0,0.05,1,1,0,0,,
QUA016,2021,Q5,,3,2,0,95,15,0,0.05,6,1,0,0,,
QUA011,2021,Q4,,1,18,0,1,0.5,0,0.05,0.05,1,3,0,,
BOB017,2021,Q3,6,40,24,0,30,0.1,0,22,40,1.15,,,,
QUA015,2021,Q5,,15,20,0,65,0.1,0,0,0.5,2,tr,0,,
QUA020,2021,Q2,0.1,0.05,75,0,25,0.1,0,0.05,1,2,50,tr,,
QUA021,2021,Q1,,0.5,94.5,2,0.5,1,0,0.6,3.6,2,na,na,,
QUA022,2021,Q2,tr,7,43,0,50,0.05,0,0.05,4,2,tr,0,,
QUA016,2021,Q3,,3,5,0,92,0.1,0,0.05,5,2,tr,tr,,
QUA016,2022,Q2,0,5,56,0,0.1,0.1,0,5,30,2,,,4,
QUA010,2021,Q4,,5,95,0,0.05,0.05,0,0.05,30,2,0,0,,
QUA004,2021,Q4,,0.05,99,0,1,0.5,0.5,1,0.05,2,tr,0,,
QUA015,2022,Q3,0,1,73,0,1.5,0.1,0,0.1,25,2.5,,,0,
QUA004,2022,Q4,0,0.1,40,0,0,na,0,0.05,60,2.5,,,0,
QUA008,2021,Q2,,3,97,0,0.05,1,0,0.05,1,3,1,0,,
QUA003,2021,Q1,,5,10,0,85,0.05,0,0.05,7,3,,,,
QUA021,2021,Q2,,6,89,0,2,0.3,0,0.5,8.5,3,na,na,,
QUA010,2021,Q3,,15,85,0,0.05,0.05,0,0,38,3,0,0,,
COL007,2021,Q2,,4,91,0,5,0.05,0,0,40,3,0,0,,
QUA004,2021,Q1,,15,85,0,0.05,0.5,0,0.05,0,4,tr,0,,
QUA021,2021,Q5,,1,94,0,5,0.1,0,0.5,4.5,4,na,na,,
QUA015,2021,Q1,"** 6 refers to ACGL, ADFA at 1.5",6,3,0,91,0.1,0,0.05,10,4,0,0,,
QUA021,2021,Q4,,0.5,94,0,4,na,0,0.4,19,4,na,na,,
QUA020,2022,Q1,0,0.5,69,0,0.05,0.5,0,1,30,4,,,0,
QUA022,2021,Q4,1,1,38,0,60,0.05,0,0.05,2,5,tr,0,,
QUA021,2021,Q3,,2,77,16,5,0.1,0,3,4,5,na,na,,
