Location,OBS,PlotID,Quad (if applicable),Date1,Date2,num_burn,Elevation_m,Belt_info,Transect direction,Aspect_degree,Slope %,cool/warm_slope,fire_preLNU_name,fire_preLNU_year,currentFRI,medianRefFRI,meanPFRID,meanCC_FRI,PFR,2022 notes,2021 notes
Bobcat,HS,BOB007,Q4,4/19/2021,4/3/2022,3,,,,20,63,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB007,Q5,4/19/2021,4/3/2022,3,,,,35,58,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB007,,4/19/2021,4/3/2022,3,306,right dowhill,40,28,65,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB008,Q1,4/19/2021,4/3/2022,3,,,,0,58,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB008,Q2,4/19/2021,4/3/2022,3,,,,0,53,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB008,Q3,4/19/2021,4/3/2022,3,,,,355,51,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB008,Q4,4/19/2021,4/3/2022,3,,,,0,55,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB008,Q5,4/19/2021,4/3/2022,3,,,,12,40,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB008,,4/19/2021,4/3/2022,3,326,right dowhill,0,1,52,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB009,Q1,4/20/2021,3/17/2022,3,,,,155,33,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB009,Q2,4/20/2021,3/17/2022,3,,,,155,33,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB009,Q3,4/20/2021,3/17/2022,3,,,,180,40,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB009,Q4,4/20/2021,3/17/2022,3,,,,175,47,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB009,Q5,4/20/2021,3/17/2022,3,,,,135,40,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB009,,4/20/2021,3/17/2022,3,447,right downhill,120,160,39,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB010,Q1,4/20/2021,3/17/2022,3,,,,168,25,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB010,Q2,4/20/2021,3/17/2022,3,,,,180,27,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB010,Q3,4/20/2021,3/17/2022,3,,,,155,33,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB010,Q4,4/20/2021,3/17/2022,3,,,,175,27,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB010,Q5,4/20/2021,3/17/2022,3,,,,175,53,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB010,,4/20/2021,3/17/2022,3,438,right downhill,135,171,33,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB011,Q1,4/20/2021,4/3/2022,4,,,,140,33,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB011,Q2,4/20/2021,4/3/2022,4,,,,148,36,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB011,Q3,4/20/2021,4/3/2022,4,,,,155,63,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB011,Q4,4/20/2021,4/3/2022,4,,,,150,70,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB011,Q5,4/20/2021,4/3/2022,4,,,,164,67,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB011,,4/20/2021,4/3/2022,4,453,right downhill,109,151,54,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,2/3 of adfa killed by 2018 fire
Bobcat,"HS, RBW",BOB012,Q1,4/20/2021,4/3/2022,4,,,,124,42,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB012,Q2,4/20/2021,4/3/2022,4,,,,90,47,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB012,Q3,4/20/2021,4/3/2022,4,,,,115,62,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB012,Q4,4/20/2021,4/3/2022,4,,,,120,58,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB012,Q5,4/20/2021,4/3/2022,4,,,,130,58,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB012,,4/20/2021,4/3/2022,4,418,right downhill,117,116,53,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB013,Q1,4/21/2021,3/26/2022,4,,,,75,53,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,HS,BOB013,Q2,4/21/2021,3/26/2022,4,,,,62,78,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,HS,BOB013,Q3,4/21/2021,3/26/2022,4,,,,68,47,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,HS,BOB013,Q4,4/21/2021,3/26/2022,4,,,,40,84,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,HS,BOB013,Q5,4/21/2021,3/26/2022,4,,,,50,84,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,HS,BOB013,,4/21/2021,3/26/2022,4,266,downhill side,65,59,69,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,HS,BOB014,Q1,4/21/2021,3/26/2022,4,,,,55,47,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,HS,BOB014,Q2,4/21/2021,3/26/2022,4,,,,60,47,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,HS,BOB014,Q3,4/21/2021,3/26/2022,4,,,,55,58,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,HS,BOB014,Q4,4/21/2021,3/26/2022,4,,,,65,78,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,HS,BOB014,Q5,4/21/2021,3/26/2022,4,,,,58,84,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,HS,BOB014,,4/21/2021,3/26/2022,4,430,downhill side,55,59,63,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB015,Q1,4/27/2021,3/26/2022,4,,,,11,49,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB015,Q2,4/27/2021,3/26/2022,4,,,,25,55,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB015,Q3,4/27/2021,3/26/2022,4,,,,40,55,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB015,Q4,4/27/2021,3/26/2022,4,,,,45,65,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB015,Q5,4/27/2021,3/26/2022,4,,,,32,60,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB015,,4/27/2021,3/26/2022,4,275,right downhill,60,31,57,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB016,Q1,4/27/2021,3/26/2022,4,,,,68,45,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB016,Q2,4/27/2021,3/26/2022,4,,,,72,45,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB016,Q3,4/27/2021,3/26/2022,4,,,,50,49,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB016,Q4,4/27/2021,3/26/2022,4,,,,44,45,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB016,Q5,4/27/2021,3/26/2022,4,,,,48,53,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB016,,4/27/2021,3/26/2022,4,284,right downhill,52,56,47,cool,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB017,Q1,4/27/2021,3/17/2022,4,,,,104,45,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB017,Q2,4/27/2021,3/17/2022,4,,,,95,53,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB017,Q3,4/27/2021,3/17/2022,4,,,,112,62,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB017,Q4,4/27/2021,3/17/2022,4,,,,154,53,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB017,Q5,4/27/2021,3/17/2022,4,,,,135,84,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB017,,4/27/2021,3/17/2022,4,324,right downhill,112,120,59,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB018,Q1,4/27/2021,3/17/2022,3,,,,130,53,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
