PlotID,year,Species,SEEDLING/RESPROUT
BOB002,2021,ACHMIL,
BOB006,2022,ACHMIL,
BOB007,2021,ACHMIL,
BOB007,2022,ACHMIL,
BOB008,2021,ACHMIL,
CCC002,2021,ACHMIL,
CCC002,2022,ACHMIL,
CCC004,2021,ACHMIL,
CCC007,2022,ACHMIL,
CCC010,2021,ACHMIL,
CCC010,2022,ACHMIL,
CCC011,2021,ACHMIL,
CCC011,2022,ACHMIL,
CCC011,2022,ACHMIL,
CCC012,2021,ACHMIL,
CCC012,2022,ACHMIL,
COL007,2022,ACHMIL,
COL012,2021,ACHMIL,
COL012,2022,ACHMIL,
COL014,2021,ACHMIL,
COL014,2022,ACHMIL,
COL014,2022,ACHMIL,
BOB012,2022,ACMAME,
BOB001,2022,ACMBRA,
BOB001,2022,ACMBRA,
BOB002,2022,ACMBRA,
BOB004,2022,ACMBRA,
BOB005,2022,ACMBRA,
BOB006,2022,ACMBRA,
BOB009,2022,ACMBRA,
BOB010,2022,ACMBRA,
BOB011,2022,ACMBRA,
BOB013,2022,ACMBRA,
BOB016,2022,ACMBRA,
BOB017,2022,ACMBRA,
CCC005,2022,ACMBRA,
CCC011,2022,ACMBRA,
COL013,2022,ACMBRA,
QUA002,2022,ACMBRA,
QUA003,2021,ACMBRA,
QUA003,2022,ACMBRA,
QUA003,2022,ACMBRA,
QUA005,2022,ACMBRA,
QUA006,2022,ACMBRA,
QUA008,2021,ACMBRA,
QUA008,2022,ACMBRA,
QUA010,2022,ACMBRA,
BOB001,2021,ACMGLA,
BOB001,2022,ACMGLA,
BOB001,2022,ACMGLA,
BOB002,2021,ACMGLA,
BOB003,2021,ACMGLA,
BOB003,2022,ACMGLA,
BOB004,2021,ACMGLA,
BOB004,2021,ACMGLA,
BOB004,2022,ACMGLA,
BOB005,2021,ACMGLA,
BOB005,2022,ACMGLA,
BOB006,2021,ACMGLA,
BOB006,2022,ACMGLA,
BOB006,2022,ACMGLA,
BOB009,2021,ACMGLA,
BOB009,2021,ACMGLA,
BOB009,2022,ACMGLA,
BOB010,2021,ACMGLA,
BOB010,2022,ACMGLA,
BOB011,2021,ACMGLA,
BOB011,2022,ACMGLA,
BOB012,2021,ACMGLA,
BOB012,2021,ACMGLA,
BOB013,2021,ACMGLA,
BOB014,2021,ACMGLA,
BOB015,2021,ACMGLA,
BOB016,2022,ACMGLA,
BOB017,2021,ACMGLA,
BOB017,2022,ACMGLA,
BOB018,2021,ACMGLA,
BOB018,2022,ACMGLA,
BOB019,2021,ACMGLA,
CCC001,2021,ACMGLA,
CCC003,2021,ACMGLA,
CCC003,2022,ACMGLA,
CCC004,2021,ACMGLA,
CCC005,2021,ACMGLA,
CCC005,2022,ACMGLA,
CCC006,2021,ACMGLA,
CCC006,2022,ACMGLA,
CCC008,2021,ACMGLA,
CCC008,2022,ACMGLA,
CCC009,2021,ACMGLA,
CCC009,2022,ACMGLA,
CCC011,2021,ACMGLA,
CCC011,2022,ACMGLA,
COL007,2021,ACMGLA,
COL012,2021,ACMGLA,
COL012,2022,ACMGLA,
COL013,2021,acmgla,
COL013,2022,ACMGLA,
COL014,2021,ACMGLA,
COL014,2021,ACMGLA,
COL014,2022,ACMGLA,
COL017,2021,acmgla,
QUA001,2021,ACMGLA,
QUA002,2021,ACMGLA,
QUA002,2022,ACMGLA,
QUA003,2021,ACMGLA,
QUA003,2022,ACMGLA,
QUA004,2021,ACMGLA,
QUA004,2022,ACMGLA,
QUA005,2021,ACMGLA,
QUA005,2022,ACMGLA,
QUA006,2021,ACMGLA,
QUA006,2022,ACMGLA,
QUA008,2021,ACMGLA,
QUA008,2022,ACMGLA,
QUA009,2021,ACMGLA,
QUA009,2022,ACMGLA,
QUA010,2021,ACMGLA,
QUA010,2022,ACMGLA,
QUA011,2021,ACMGLA,
QUA011,2022,ACMGLA,
QUA015,2021,ACMGLA,
QUA015,2022,ACMGLA,
QUA016,2021,acmgla,
QUA016,2022,ACMGLA,
QUA020,2021,acmgla,
QUA020,2022,ACMGLA,
QUA024,2022,ACMGLA,
QUA025,2022,ACMGLA,
QUA025,2022,ACMGLA,
QUA025,2022,ACMGLA,
BOB001,2021,ACMWRA,
BOB001,2022,ACMWRA,
BOB002,2022,ACMWRA,
BOB002,2021,ACMWRA,
BOB003,2021,ACMWRA,
BOB003,2022,ACMWRA,
BOB004,2021,ACMWRA,
BOB005,2021,ACMWRA,
BOB006,2021,ACMWRA,
BOB006,2022,ACMWRA,
BOB008,2021,ACMWRA,
BOB008,2022,ACMWRA,
BOB009,2021,ACMWRA,
BOB010,2021,ACMWRA,
BOB011,2021,ACMWRA,
BOB012,2021,ACMWRA,
BOB012,2022,ACMWRA,
BOB013,2021,ACMWRA,
BOB013,2022,ACMWRA,
BOB013,2022,ACMWRA,
BOB014,2022,ACMWRA,
BOB015,2021,ACMWRA,
BOB015,2022,ACMWRA,
BOB016,2022,ACMWRA,
BOB017,2021,ACMWRA,
BOB017,2022,ACMWRA,
BOB019,2022,ACMWRA,
CCC003,2021,ACMWRA,
CCC003,2022,ACMWRA,
CCC005,2021,ACMWRA,
CCC005,2022,ACMWRA,
CCC006,2021,ACMWRA,
CCC006,2022,ACMWRA,
CCC007,2021,ACMWRA,
CCC007,2022,ACMWRA,
CCC008,2021,ACMWRA,
CCC008,2022,ACMWRA,
CCC009,2021,ACMWRA,
CCC009,2022,ACMWRA,
CCC011,2021,ACMWRA,
CCC011,2022,ACMWRA,
COL007,2022,ACMWRA,
COL013,2021,ACMWRA,
COL017,2021,ACMWRA,
COL017,2022,ACMWRA,
COL018,2021,ACMWRA,
COL018,2022,ACMWRA,
QUA001,2021,ACMWRA,
QUA002,2021,ACMWRA,
QUA005,2022,ACMWRA,
QUA008,2021,ACMWRA,
COL007,2021,ACMWRA ,
QUA010,2021,ACMWRA ,
BOB001,2021,ADFA,RESPROUT
BOB002,2021,ADFA,RESPROUT
BOB002,2022,ADFA,RESPROUT
BOB003,2021,ADFA,RESPROUT
BOB003,2022,ADFA,RESPROUT
BOB004,2021,ADFA,RESPROUT
BOB004,2022,ADFA,RESPROUT
BOB004,2022,ADFA,SEEDLING
BOB005,2021,ADFA,RESPROUT
BOB005,2022,ADFA,RESPROUT
BOB006,2021,ADFA,RESPROUT
BOB006,2022,ADFA,RESPROUT
BOB007,2021,ADFA,RESPROUT
BOB007,2022,ADFA,RESPROUT
BOB008,2021,ADFA,RESPROUT
BOB008,2022,ADFA,RESPROUT
BOB009,2021,ADFA,RESPROUT
BOB009,2022,ADFA,RESPROUT
BOB010,2021,ADFA,RESPROUT
BOB010,2022,ADFA,RESPROUT
BOB010,2022,ADFA,SEEDLING
BOB011,2021,ADFA,RESROUT
BOB011,2022,ADFA,RESPROUT
BOB012,2021,ADFA,
BOB012,2022,ADFA,RESPROUT
BOB013,2022,ADFA,RESPROUT
BOB014,2022,ADFA,RESPROUT
BOB015,2021,ADFA,RESPROUT
BOB015,2022,ADFA,RESPROUT
BOB016,2021,ADFA,RESPROUT
BOB016,2022,ADFA,RESPROUT
BOB017,2021,ADFA,RESPROUT
BOB017,2022,ADFA,RESPROUT
BOB018,2021,ADFA,RESPROUT
BOB018,2022,ADFA,RESPROUT
BOB018,2022,ADFA,SEEDLING
BOB019,2021,ADFA,RESPROUT
BOB019,2022,ADFA,RESPROUT
CCC003,2021,ADFA,
CCC003,2021,ADFA,
CCC003,2022,ADFA,RESPROUT
CCC003,2022,ADFA,SEEDLING
CCC004,2021,ADFA,
CCC005,2021,ADFA,SEEDLING
CCC005,2022,ADFA,SEEDLING
CCC006,2021,ADFA,RESPROUT
CCC006,2022,ADFA,RESPROUT
CCC006,2022,ADFA,SEEDLING
CCC007,2021,ADFA,
CCC008,2021,ADFA,RESPROUT
CCC008,2021,ADFA,SEEDLING
CCC008,2022,ADFA,RESPROUT
CCC008,2022,ADFA,SEEDLING
CCC009,2021,ADFA,
CCC009,2022,ADFA,RESPROUT
CCC010,2021,ADFA,
CCC011,2021,ADFA,
CCC011,2022,ADFA,RESPROUT
CCC011,2022,ADFA,SEEDLING
CCC011,2022,ADFA,RESPROUT
COL007,2022,ADFA,RESPROUT
COL007,2022,ADFA,SEEDLING
COL012,2021,ADFA,resprout
COL012,2021,ADFA,resprout
COL012,2022,ADFA,RESPROUT
COL012,2022,ADFA,RESPROUT
COL013,2021,ADFA,resprouting
COL013,2022,ADFA,RESPROUT
COL013,2022,ADFA,SEEDLING
COL017,2021,adfa,resprouting
COL017,2022,ADFA,RESPROUT
COL018,2022,ADFA,RESROUT
QUA001,2021,ADFA,resprout
QUA001,2021,ADFA,seedling
QUA002,2021,ADFA,resprouting and seeding
QUA002,2022,ADFA,RESPROUT
QUA002,2022,ADFA,SEEDLING
QUA003,2021,ADFA,RESPROUT
QUA003,2021,ADFA,seedling
QUA003,2022,ADFA,RESPROUT
QUA004,2021,ADFA,seedling
QUA004,2021,ADFA,resprout
QUA004,2022,ADFA,SEEDLING
QUA004,2022,ADFA,RESPROUT
QUA005,2021,ADFA,resprout
QUA005,2021,ADFA,seedling
QUA005,2022,ADFA,RESPROUT
QUA006,2021,ADFA,seedling
QUA006,2021,ADFA,resprout
QUA006,2022,ADFA,SEEDLING
QUA006,2022,ADFA,RESPROUT
QUA008,2021,ADFA,seedling
QUA008,2022,ADFA,SEEDLING
QUA008,2022,ADFA,RESPROUT
QUA008,2022,ADFA,RESPROUT
QUA009,2021,ADFA,seedling
QUA009,2022,ADFA,RESPROUT
QUA009,2022,ADFA,SEEDLING
QUA010,2021,ADFA,seedling
QUA010,2022,ADFA,SEEDLING
QUA010,2022,ADFA,RESPROUT
QUA011,2021,ADFA,"seedling, resprout"
QUA011,2022,ADFA,SEEDLING
QUA011,2022,ADFA,RESPROUT
QUA015,2021,ADFA,seedling
QUA015,2021,ADFA,RESPROUT
QUA015,2022,ADFA,SEEDLING
QUA015,2022,ADFA,RESPROUT
QUA016,2021,ADFA,SEEDLING
QUA016,2021,ADFA,RESPROUT
QUA016,2022,ADFA,RESPROUT
QUA020,2021,ADFA,"resprout, seeding"
QUA020,2021,ADFA,SEEDLING
QUA020,2022,ADFA,SEEDLING
QUA020,2022,ADFA,RESPROUT
QUA021,2021,ADFA,SEEDLING
QUA021,2022,ADFA,SEEDLING
QUA021,2022,ADFA,RESPROUT
QUA022,2021,ADFA,seedling
QUA022,2022,ADFA,RESPROUT
QUA022,2022,ADFA,SEEDLING
QUA022,2022,ADFA,RESPROUT
QUA024,2022,ADFA,RESPROUT
QUA024,2022,ADFA,SEEDLING
QUA025,2022,ADFA,RESPROUT
QUA025,2022,ADFA,RESPROUT
QUA025,2022,ADFA,RESPROUT
QUA025,2022,ADFA,SEEDLING
QUA025,2022,ADFA,SEEDLING
QUA025,2022,ADFA,SEEDLING
QUA025,2022,ADFA,SEEDLING
CCC010,2022,ADIJOR,
CCC004,2021,ADIJOR,
CCC010,2021,ADIJOR,
CCC012,2021,ADIJOR,
CCC012,2022,ADIJOR,
BOB008,2021,AESCAL,
BOB015,2021,AESCAL,
